time,portfolio_value
2398,58.378517641639164
2399,58.01324542176116
2400,59.27124000941677
2401,58.91469837822714
2402,59.262589681672914
2403,59.35277846708458
2404,59.52755797404278
2405,59.45579450712321
2406,59.15781909695651
2407,58.93606696896697
2408,59.38164700645133
2409,59.31916979531323
2410,58.284057142042556
2411,58.186214689001694
2412,58.33072130122552
2413,57.52618386388742
2414,57.65241250563067
2415,57.59272101246516
2416,58.28154020579711
2417,57.833032667961184
2418,57.79105533910002
2419,57.84086937882588
2420,57.56940473563413
2421,57.28049672066063
2422,56.96512224487148
2423,56.67811645543112
2424,56.473876680539234
2425,56.03425505090378
2426,56.32983909528339
2427,56.62401748171435
2428,56.73636416970985
2429,57.01009824477906
2430,56.85120759861327
2431,56.54924390553765
2432,56.72258929062145
2433,56.64492768905337
2434,56.77236867458565
2435,56.774529233584566
2436,58.05492331772789
2437,58.49708362360544
2438,58.36246235878768
2439,57.76923928546993
2440,57.142924784904544
2441,57.670356807870014
2442,57.43226153588
2443,57.62387126278438
2444,57.37762216248893
2445,57.80355187403171
2446,57.392122035668315
2447,57.364244911063544
2448,56.564832479043716
2449,56.40850795432501
2450,56.20078442393457
2451,55.52841623887701
2452,55.41741493481549
2453,55.36670479290486
2454,55.119000025287264
2455,55.34215211450167
2456,56.809566671065504
2457,56.10861331125956
2458,55.367755870643684
2459,55.13837094529058
2460,54.12271923573227
2461,54.37766499011124
2462,54.29424853727005
2463,54.62310290094375
2464,55.244233197623785
2465,55.024889566757736
2466,53.64402635765657
2467,53.203021425595
2468,53.18827199769175
2469,52.599914350245456
2470,52.94266053662108
2471,53.16793784430086
2472,52.77251331344887
2473,53.39255297123596
2474,52.94846507014236
2475,53.45850245313461
2476,52.90089541366317
2477,52.27987243682265
2478,52.379430072618625
2479,52.33174760080845
2480,51.934456345239745
2481,52.58521818058287
2482,52.60966083017605
2483,52.72269041511215
2484,51.85916992295098
2485,52.51211577875617
2486,50.88087836782612
2487,50.78718441137079
2488,51.21371980601697
2489,51.047464381774326
2490,51.00917200430808
2491,50.5016012577947
2492,50.480019656969944
2493,50.165236517072316
2494,50.223064392471514
2495,50.256791792948796
2496,50.31380516463556
2497,50.10321453631903
2498,50.55202528617176
2499,50.404011528436726
2500,50.12359943114356
2501,49.83631155698072
2502,50.219040514860154
2503,50.087595393287444
2504,50.010716672187456
2505,49.37714726037171
2506,49.19354604452164
2507,48.99507672051618
2508,48.981692784472834
2509,48.1933295334131
2510,47.72183147482065
2511,47.49653830859853
2512,47.21094925712115
2513,47.12418506456012
2514,46.976816847244905
2515,46.8071092038024
2516,46.68328200834691
2517,46.10677341003531
2518,45.89405026415602
2519,45.74215070018964
2520,46.14601824011834
2521,45.98636562479914
2522,45.715046936410616
2523,45.4819278308689
2524,45.078327417246584
2525,45.18139397647183
2526,44.74998287985927
2527,45.03794057391975
2528,44.46785482888923
2529,44.70327423279826
2530,44.650692199962705
2531,44.31183269758073
2532,44.14266093401426
2533,44.71980601168475
2534,44.506356673909686
2535,44.431953932885726
2536,43.31832181012365
2537,43.93533211956146
2538,44.527985084681454
2539,44.22223340362952
2540,44.357350366690156
2541,44.290267481055835
2542,43.84265949601709
2543,43.84102296910899
2544,44.02518934504046
2545,43.794413916018875
2546,43.685496330579916
2547,43.66926845104622
2548,43.91547289282652
2549,44.03305068558904
2550,43.77541126654251
2551,43.441040052859556
2552,43.396436388381126
2553,43.23943600058569
2554,43.39137599962291
2555,43.51454762610096
2556,43.31583331204274
2557,42.76928523733731
2558,43.0802333008799
2559,43.50776857477523
2560,43.47621555821543
2561,43.05054369325043
2562,42.722995854259835
2563,42.85794190123475
2564,42.66918660784036
2565,42.29583752678438
2566,42.21128814756834
2567,41.87415999790839
2568,41.89953140799968
2569,41.74093312582608
2570,41.63033245087397
2571,41.63520874731299
2572,41.592558070461706
2573,41.49591555027825
2574,41.406229209040035
2575,41.43101880928481
2576,41.28781628092224
2577,41.00441120850602
2578,41.17637102747589
2579,41.16074894485232
2580,41.131713544338545
2581,41.00299506146459
2582,40.848110694648135
2583,41.011239295223916
2584,41.33861643173276
2585,41.31528477400343
2586,41.25900026967304
2587,41.222464819924994
2588,41.33000885550904
2589,41.025137986237084
2590,40.9366049736538
2591,40.93941207004917
2592,40.95503977259528
2593,41.035288570698505
2594,40.9079567511589
2595,40.82618174561333
2596,40.693002962351244
2597,40.470131201102646
2598,40.485533820392995
2599,40.43023254576353
2600,40.208733101199336
2601,40.05815674794743
2602,39.94623559815822
2603,39.879095567799915
2604,39.81840787924846
2605,39.510899906631266
2606,39.3181899271044
2607,39.09456464176904
2608,39.33106311194571
2609,39.296403049939734
2610,39.33067058734604
2611,39.3521334815797
2612,39.323410984256626
2613,39.26972477700609
2614,39.06064936053704
2615,39.05703238917491
2616,39.28241605821478
2617,39.11118069334371
2618,38.934304655670864
2619,38.881098855810365
2620,38.748082572153145
2621,38.456026791300665
2622,38.25065156474794
2623,38.0154092927341
2624,37.847996208860195
2625,37.31615040665561
2626,37.33261056972374
2627,37.32462297542139
2628,37.20768836664365
2629,37.18761630611001
2630,36.83024660797888
2631,36.99701943255047
2632,36.94105608582698
2633,36.879182731861825
2634,37.00260135613175
2635,37.03594917100444
2636,36.94406406023333
2637,36.733634538900056
2638,36.755025093669424
2639,37.48000544133183
2640,37.71202062725178
2641,37.50703561989044
2642,37.44381720208354
2643,37.59192520688625
2644,37.66902434447359
2645,37.576192304324856
2646,37.51274190570506
2647,37.64147305585948
2648,37.641743594852464
2649,37.39837607737969
2650,36.96490268905392
2651,37.018041029775674
2652,36.851840332400094
2653,37.031221139878575
2654,36.492289244267326
2655,35.74342384811962
2656,35.506189537185115
2657,35.321107970485116
2658,35.518111082202864
2659,35.39596834650425
2660,35.194776764595936
2661,35.141401662565634
2662,35.257552467709516
2663,35.096878265644534
2664,35.42053110172222
2665,35.02969141442998
2666,34.96527047002171
2667,34.794715159079956
2668,34.953982699861164
2669,34.88410968844414
2670,35.17569432586679
2671,35.31064027949877
2672,35.36739464722662
2673,35.35194991415795
2674,35.319882330575254
2675,35.26028468607303
2676,35.68411527271347
2677,36.12803616268021
2678,35.90811373957193
2679,35.71622383226555
2680,35.8191827210062
2681,35.78020650286503
2682,35.63813280254136
2683,35.46940411976967
2684,36.38764807714909
2685,36.3095147971086
2686,36.57609813271969
2687,36.454627075017356
2688,36.34421967270465
2689,36.93513712311149
2690,37.05356790110237
2691,37.29929745408457
2692,36.86302108862872
2693,36.91674085115038
2694,37.139637538996894
2695,37.24517050251806
2696,37.21820980541438
2697,37.033216527353176
2698,36.864581699714186
2699,37.168554647098986
2700,36.68593522186945
2701,36.44541921527252
2702,36.41427647916746
2703,36.64328933644038
2704,36.6583226543681
2705,36.517666898197156
2706,36.113635048111895
2707,36.170495180291695
2708,35.91787971926532
2709,36.06716155222478
2710,35.80007934685085
2711,35.528799912338364
2712,35.45266717860946
2713,34.99416336372555
2714,34.639155992137255
2715,34.686754050880474
2716,34.7897925168503
2717,34.608932441825466
2718,34.262017284525854
2719,33.93146952662071
2720,34.351502264224365
2721,34.67435059826604
2722,34.43972588716173
2723,34.73083773664175
2724,34.77117774715578
2725,35.45854401342776
2726,36.08338949161973
2727,36.30883151710593
2728,35.780884090647106
2729,35.971164159440306
2730,35.8943279399123
2731,35.45357460998011
2732,35.27467911970315
2733,35.01795146830135
2734,35.30496155345084
2735,35.11236731023517
2736,34.83759449881114
2737,34.242934705584744
2738,34.5189447910073
2739,34.34826204302253
2740,34.48738430394641
2741,34.72226383124623
2742,34.7587377464821
2743,34.69886158055206
2744,34.56238712494197
2745,34.10100144194571
2746,34.433893867976465
2747,34.050571607599046
2748,33.74473160343183
2749,34.341709174682315
2750,34.07886503667953
2751,34.27545320167501
2752,33.79650994244559
2753,33.77603188981194
2754,33.689718779871804
2755,33.43011120576679
2756,33.124607529599615
2757,33.38066171455077
2758,33.25799880532733
2759,33.53575883920713
2760,33.686924475028235
2761,33.51301727342175
2762,33.3489189147859
2763,32.96844503860965
2764,33.10518834670129
2765,33.38374199209102
2766,33.294071771862704
2767,33.081019190024186
2768,32.80472071277646
2769,32.70722569048213
2770,32.19587981601318
2771,32.136061809893796
2772,31.95397736679869
2773,32.00771025051297
2774,32.04304311675411
2775,31.86635527152948
2776,31.825136156754485
2777,31.617922263588653
2778,31.67115611092095
2779,31.420129193026323
2780,31.419767365433305
2781,31.530571035076324
2782,31.409786512027505
2783,31.706136519405515
2784,30.85069144187561
2785,30.948000363605935
2786,31.0271678922073
2787,30.64405714685752
2788,30.495006366224455
2789,30.64432959626402
2790,30.600560114113822
2791,30.556843167581558
2792,30.46527734206406
2793,30.39133935503607
2794,30.222155110466495
2795,30.179055454675304
2796,30.25696608861749
2797,30.140435258726974
2798,29.946800789496162
2799,29.83540793276155
2800,29.93861657006268
2801,30.11827844808854
2802,30.557474796336486
2803,30.35155491410219
2804,30.34614973028866
2805,30.153959320675444
2806,29.776103658610623
2807,29.581352188819594
2808,28.847425487147422
2809,29.278006866653794
2810,29.702550892148835
2811,29.827633097453443
2812,29.84750058166309
2813,29.97573178267655
2814,30.2158434946241
2815,30.04731328363413
2816,29.8419817556392
2817,29.869313570175922
2818,29.863345605936793
2819,29.452969078993004
2820,29.031761714373538
2821,28.86688891497847
2822,28.296565071581245
2823,28.194979947768655
2824,28.547075407165053
2825,28.49000980342613
2826,28.750382432558325
2827,28.3477997083634
2828,28.392432701865065
2829,28.432730064985584
2830,28.476788689120262
2831,28.500418757432445
2832,28.306776383833878
2833,28.0897242753726
2834,28.165693440145958
2835,27.881638229978197
2836,27.93356969909302
2837,28.36723239914198
2838,28.274780687558955
2839,28.26978874107023
2840,28.209321561611073
2841,28.02659628051031
2842,28.14393428246218
2843,27.914657942887594
2844,27.799991511637945
2845,28.022490160386397
